alpha_id,expression,universe,delay,decay,truncation,neutralization,sharpe,fitness,turnover,returns,drawdown,checks_passed,checks_total,status
3qEGjKn0,"rank(multiply(-1, ts_corr(close, volume, 20)))",TOP3000,0,1,0.005,INDUSTRY,0.85,0.38,0.2536,0,0,4,8,FAILED_LOW_SHARPE
LLn82goe,"ts_decay_linear(rank(divide(subtract(vwap, divide(add(high, low), 2)), close)), 4)",TOP3000,0,4,0.01,SUBINDUSTRY,-0.89,-0.36,0.476,0,0,5,8,FAILED_LOW_SHARPE
blNxKxgl,"ts_decay_linear(rank(divide(subtract(vwap, divide(add(high, low), 2)), close)), 4)",TOP3000,0,1,0.005,INDUSTRY,-0.59,-0.16,0.792,0,0,4,8,FAILED_LOW_SHARPE
xAeloKAl,"rank(divide(subtract(high, low), close))",TOP3000,0,4,0.01,SUBINDUSTRY,0.03,0.0,0.3354,0,0,5,8,FAILED_LOW_SHARPE
9q9GpWqr,"ts_decay_linear(rank(divide(subtract(vwap, close), close)), 4)",TOP3000,0,4,0.01,SUBINDUSTRY,0.65,0.22,0.5023,0,0,4,8,FAILED_LOW_SHARPE
78xGzp6Q,"ts_decay_linear(rank(divide(subtract(vwap, close), close)), 4)",TOP3000,0,1,0.005,INDUSTRY,0.7,0.2,0.8416,0,0,3,8,FAILED_LOW_SHARPE
YPNl7AdJ,"ts_decay_linear(rank(divide(subtract(vwap, close), close)), 3)",TOP3000,0,4,0.01,SUBINDUSTRY,0.73,0.24,0.5634,0,0,4,8,FAILED_LOW_SHARPE
88OGlvKX,"ts_decay_linear(rank(divide(subtract(vwap, close), close)), 3)",TOP3000,0,1,0.005,INDUSTRY,0.71,0.19,0.9413,0,0,3,8,FAILED_LOW_SHARPE
YPNl5jLR,"ts_decay_linear(rank(divide(subtract(vwap, close), close)), 5)",TOP3000,0,4,0.01,SUBINDUSTRY,0.61,0.21,0.4516,0,0,4,8,FAILED_LOW_SHARPE
VkXM6Obw,"ts_decay_linear(rank(divide(subtract(vwap, close), close)), 5)",TOP3000,0,1,0.005,INDUSTRY,0.68,0.2,0.7681,0,0,3,8,FAILED_LOW_SHARPE
zq5AY0Qo,"rank(multiply(-1, returns))",TOP3000,0,4,0.01,SUBINDUSTRY,0.38,0.09,0.8323,0,0,3,8,FAILED_LOW_SHARPE
VkXMaoZb,"rank(multiply(-1, returns))",TOP3000,0,1,0.005,INDUSTRY,-0.02,0.0,1.3318,0,0,3,8,FAILED_LOW_SHARPE
YPNlb7gW,"ts_decay_linear(rank(multiply(-1, returns)), 4)",TOP3000,0,4,0.01,SUBINDUSTRY,0.66,0.26,0.504,0,0,5,8,FAILED_LOW_SHARPE
e7n1bPRz,"ts_decay_linear(rank(multiply(-1, returns)), 4)",TOP3000,0,1,0.005,INDUSTRY,0.32,0.07,0.8386,0,0,3,8,FAILED_LOW_SHARPE
9q9GWgze,"ts_decay_linear(rank(multiply(-1, ts_delta(close, 1))), 3)",TOP3000,0,4,0.01,SUBINDUSTRY,1.21,0.53,0.5711,0,0,5,8,FAILED_LOW_SHARPE
